Bankrupt?, ROA(C) before interest and depreciation before interest, Operating Gross Margin, Operating Profit Rate, Current Ratio, Quick Ratio, Long-term Liability to Current Assets, Liability to Equity, Equity to Liability,,,0.015106556
1,0.370594257,0.601457213,0.998969203,0.002258963,0.001207755,0.025592368,0.290201893,0.016468741,,,1
1,0.464290937,0.610235086,0.998945978,0.006016206,0.004039367,0.023946819,0.28384598,0.020794306,,,
1,0.426071272,0.601450006,0.998857353,0.011542554,0.00534756,0.003715116,0.290188533,0.016474114,,,
1,0.399844001,0.583541129,0.998699747,0.004194059,0.002896491,0.0221652,0.281721193,0.023982332,,,
1,0.465022181,0.598783494,0.998973132,0.006022446,0.003727447,0,0.27851379,0.035490201,,,
1,0.388680349,0.590171378,0.998758098,0.002740085,0.000854661,0.003772505,0.2850871,0.019534478,,,
0,0.390922829,0.619949841,0.998993121,0.00467206,0.002869042,0.009347426,0.292504124,0.015663075,,,
0,0.508360552,0.601738278,0.999008951,0.00965738,0.007304548,0.005345656,0.278607306,0.034888556,,,
0,0.488519475,0.603612044,0.998960768,0.013498866,0.011823024,0,0.276422514,0.065826497,,,
0,0.495685663,0.599208694,0.999000632,0.011474535,0.007516653,0.004950682,0.279387519,0.030800865,,,
0,0.482474528,0.614025858,0.998978447,0.006097329,0.003449214,0.064126528,0.278356432,0.036571691,,,
0,0.444401111,0.623711786,0.998975327,0.00862899,0.005122978,0.017846406,0.277892082,0.04038102,,,
0,0.491151952,0.608130702,0.999044887,0.006630869,0.004029385,0.00951318,0.281113384,0.02528172,,,
0,0.474040852,0.600577985,0.998967008,0.010100437,0.006446767,0.004786619,0.278517753,0.035464109,,,
0,0.506703066,0.604685856,0.999052975,0.018859224,0.012023277,0.022682029,0.277667685,0.042646425,,,
0,0.513820504,0.621773159,0.999096883,0.01133101,0.007063121,0.016323049,0.278123543,0.038353747,,,
0,0.488909472,0.606523588,0.998996472,0.006217765,0.004346296,0.01746916,0.276517862,0.06294023,,,
0,0.53595281,0.618450828,0.999118837,0.01615658,0.007383152,0.010242675,0.277189778,0.048821928,,,
0,0.504070589,0.598343879,0.998988615,0.007219946,0.004172245,0.018478626,0.280838655,0.025953223,,,
0,0.487398235,0.63625881,0.999041651,0.013358461,0.008200383,0.001772228,0.277138799,0.049622455,,,
0,0.485253254,0.622176739,0.999065454,0.026719417,0.022852523,0,0.27798794,0.039507005,,,
0,0.504558085,0.607446057,0.999029981,0.015759077,0.012931588,0,0.278208025,0.037680086,,,
0,0.51201677,0.618933683,0.999058637,0.007162536,0.005050612,0.023430744,0.281274204,0.024914605,,,
0,0.49485692,0.6095072,0.999052397,0.005166287,0.004563393,0.010287691,0.287134337,0.018005125,,,
0,0.509969288,0.602956226,0.999024781,0.005716051,0.004270812,0.012326171,0.287405943,0.017839201,,,
0,0.444986106,0.611762925,0.998925064,0.006329465,0.004348168,0.046858222,0.281294868,0.024868729,,,
0,0.519280456,0.626544055,0.999099309,0.005563789,0.004628896,0.009797086,0.277780652,0.041464966,,,
0,0.54740896,0.609737817,0.999111788,0.021880743,0.012717611,0,0.275704458,0.104842365,,,
0,0.500853118,0.60202655,0.998982376,0.015599951,0.007893453,0.006932938,0.27766442,0.0426819,,,
1,0.416126359,0.599115006,0.998972554,0.00429203,0.001933905,0.001554113,0.293599485,0.015348595,,,
1,0.462194706,0.599987028,0.998908888,0.00212355,0.001388669,0.027677719,0.297038121,0.014561571,,,
0,0.476088334,0.618868822,0.999014036,0.003358492,0.002473527,0.004227525,0.290364861,0.016403931,,,
0,0.505874324,0.601168942,0.998999939,0.008700753,0.00669256,0.0085836,0.279110823,0.032085741,,,
0,0.486374494,0.603475115,0.998943552,0.011385924,0.009680132,0,0.276555324,0.061886603,,,
0,0.494369424,0.599107799,0.998995317,0.010821183,0.007094937,0.002895401,0.279572352,0.030023557,,,
0,0.475162092,0.614278096,0.998973363,0.006622132,0.004129824,0.101679047,0.279473638,0.030431234,,,
0,0.462925949,0.622702835,0.998997397,0.006099825,0.003461691,0.031533546,0.280673195,0.026387357,,,
0,0.478915809,0.607042477,0.999017386,0.009493262,0.005765533,0.016531425,0.281334802,0.024780878,,,
0,0.481060791,0.60088067,0.998975443,0.019165619,0.011513599,0.009956537,0.277940276,0.03993517,,,
0,0.486228246,0.598444774,0.998953142,0.016869838,0.012083789,0.016820574,0.277247091,0.047959942,,,
0,0.507824307,0.625326107,0.999135707,0.008481721,0.005322607,0.02285184,0.27923595,0.031485359,,,
0,0.48915322,0.604411998,0.998970821,0.005397799,0.003651962,0.013724605,0.276802951,0.055857782,,,
0,0.511188027,0.61817697,0.999077471,0.011685455,0.005565281,0.008020276,0.277531512,0.044195081,,,
0,0.523034173,0.600347367,0.999027208,0.006009966,0.003237108,0.012050167,0.280568752,0.026673956,,,
0,0.508848048,0.635718301,0.999062103,0.010436161,0.006854135,0.002258626,0.277737514,0.041905813,,,
0,0.488958222,0.624317156,0.999098154,0.021259216,0.017748884,0,0.277884763,0.040449897,,,
0,0.502120606,0.608865795,0.999048353,0.016698856,0.014383265,0,0.278154236,0.038105212,,,
0,0.523082923,0.620944378,0.999101736,0.007109494,0.005068704,0.017907995,0.280887573,0.025829305,,,
0,0.493345683,0.610206258,0.999022817,0.005312932,0.004405561,0.01017897,0.288724027,0.017125137,,,
0,0.505630576,0.60456334,0.99903079,0.005530092,0.004202189,0.009673694,0.28572377,0.01899811,,,
0,0.469555891,0.619402125,0.999045118,0.00394757,0.002901482,0.045595106,0.281981864,0.023491356,,,
0,0.523716667,0.626414333,0.999133049,0.004952247,0.00426083,0.003738549,0.277759439,0.041680209,,,
0,0.521912933,0.609290996,0.999097923,0.014818675,0.010421254,0,0.276193025,0.074265998,,,
0,0.503193097,0.603590424,0.999001441,0.010818063,0.006195359,0.002987019,0.277868819,0.040601054,,,
1,0.453029786,0.596945762,0.99893997,0.003198118,0.001559601,0.072717649,0.290903714,0.016198909,,,
1,0.472090869,0.597392583,0.998960422,0.002891099,0.002200909,0.006601529,0.300005451,0.014054216,,,
1,0.066933164,0.601860794,0.998824769,0.004328848,0.00330885,0.011706152,0.182790359,0.00917817,,,
1,0.406668942,0.595994465,0.998830778,0.003327915,0.001948254,0,0.294222142,0.015185546,,,
0,0.48223078,0.618083282,0.999003636,0.004294526,0.003603302,0.01294597,0.289105073,0.016943025,,,
0,0.488519475,0.600736534,0.998996588,0.006952864,0.004127952,0.006942192,0.280854627,0.025912547,,,
0,0.476478331,0.604635408,0.998959959,0.018572173,0.01595971,0,0.275869369,0.091710054,,,
0,0.488129479,0.597947506,0.998973941,0.014752528,0.008819232,0.007929107,0.27946074,0.030485744,,,
0,0.469165895,0.61047291,0.99898122,0.007207466,0.004586475,0.0820689,0.279072534,0.032276295,,,
0,0.48227953,0.619048992,0.999049393,0.006465502,0.004285784,0.028016802,0.281781264,0.023865991,,,
0,0.464193438,0.605932631,0.998981682,0.0063875,0.004074926,0.01317157,0.282399204,0.022774349,,,
0,0.475893336,0.600736534,0.998974172,0.018921002,0.012617173,0.007488584,0.278199352,0.037747762,,,
0,0.473504607,0.595122443,0.998914665,0.010226489,0.007113029,0.004406203,0.277494639,0.044640214,,,
0,0.503534344,0.620396662,0.999079897,0.013543795,0.007555332,0.022998954,0.278898824,0.03318426,,,
0,0.478330815,0.604102106,0.998996935,0.007589992,0.004797333,0.027150824,0.276667423,0.058971162,,,
0,0.496368157,0.61242595,0.99903391,0.012313846,0.005557171,0.023369289,0.280730773,0.026233588,,,
0,0.544825233,0.600635639,0.999038647,0.008744434,0.004027514,0.009159473,0.278315149,0.036870926,,,
0,0.520060449,0.636784906,0.999083826,0.011506984,0.006890318,0,0.277331078,0.046764118,,,
